"Cost_of_Goods_Sold_EURO","Quantity_units","Number_of_Deliveries","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Geographical_Area","Plant","Customer_Class","Turnover_Range_EURO","Product_Line","Product_Type","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs"
399.13,16,18,1,0,1,"CEU","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",104.8,230.07,0.73,11.77
399.13,16,51,1,0,1,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",97.05,113.23,0.69,11.77
449.02,18,60,1,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",124.46,61.75,1.49,13.24
773.31,31,29,1,0,1,"NAM","USA","Nationals","e >500","Plugs and Caps","Spare Parts",385.27,299.82,4.04,22.81
78.45,6,18,1,0,1,"NAM","USA","Nationals","c 100-250","Plugs and Caps","Spare Parts",47.53,33.84,3.9,10.1
313.01,9,29,1,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",105.08,35.03,71.7,11
559.46,180,51,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",152.75,44.07,1.59,661.43
347.79,10,29,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",104.17,237.57,1.88,41.14
176.31,14,4,1,0,1,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",53.45,41.1,0.27,120.81
1024.88,34,60,1,0,1,"FRA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",183.76,277.44,9.93,117.7
381.82,30,18,1,0,1,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",101.45,91.92,0.72,131.26
424.07,19,29,1,0,1,"FRA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",175.03,100.39,1.18,132.1
543.19,15,29,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",112.33,135.13,1.09,15.84
1086.37,30,40,1,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",232.98,94.81,2.18,31.69
289.7,8,18,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",30.97,41.13,0.4,21.73
60.29,1,4,1,0,1,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",27.14,24.35,0.1,124.93
60.29,1,4,1,0,1,"ITA","Northern Italy","Others","a 0-20","Plugs and Caps","Spare Parts",16.03,24.35,0.1,124.93
1202.97,9,4,1,0,1,"CEU","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",74.31,104.45,2.37,39.3
123.7,1,4,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",17.33,14.73,0.23,12.36
371.09,3,4,1,0,1,"ITA","Northern Italy","Others","e >500","Plugs and Caps","Spare Parts",49.97,36.92,43.04,37.07
298.49,8,29,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",84.03,204.11,1.66,12.61
487.17,4,18,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",33.21,53.65,2.48,19.22
4019.17,33,74,1,0,1,"ITA","Northern Italy","Nationals","c 100-250","Plugs and Caps","Spare Parts",354.91,464.89,6.23,158.6
780.85,5,18,1,0,1,"ITA","Northern Italy","Nationals","e >500","Plugs and Caps","Spare Parts",22.96,84.64,3.72,77.37
431.65,4,18,1,0,1,"ITA","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",119.97,296.29,2.46,14.9
417.47,3,29,1,0,1,"NAM","USA","Others","c 100-250","Plugs and Caps","Spare Parts",78.64,102.95,1.42,22.04
1116.51,9,18,1,0,1,"IAM","Northern Italy","Others","b 20-100","Plugs and Caps","Spare Parts",63.06,316.33,1.82,29.59
221.51,2,18,1,0,1,"ITA","Northern Italy","Others","c 100-250","Plugs and Caps","Spare Parts",41.59,19.02,11.32,15.36
