"","Plant","Quantity_units","Cost_of_Goods_Sold_EURO","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs","Product_Line","Product_Type","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Number_of_Deliveries","Customer_Class","Turnover_Range_EURO","Geographical_Area"
"8","Northern Italy",16,399.13,104.8,230.07,0.73,11.77,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","a 0-20","CEU"
"9","Northern Italy",16,399.13,97.05,113.23,0.69,11.77,"Plugs and Caps","Spare Parts",1,0,1,51,"Others","b 20-100","IAM"
"15","Northern Italy",18,449.02,124.46,61.75,1.49,13.24,"Plugs and Caps","Spare Parts",1,0,1,60,"Others","c 100-250","ITA"
"22","USA",31,773.31,385.27,299.82,4.04,22.81,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","NAM"
"34","USA",6,78.45,47.53,33.84,3.9,10.1,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","c 100-250","NAM"
"42","Northern Italy",9,313.01,105.08,35.03,71.7,11,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","e >500","ITA"
"44","Northern Italy",180,559.46,152.75,44.07,1.59,661.43,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","e >500","ITA"
"45","Northern Italy",10,347.79,104.17,237.57,1.88,41.14,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","ITA"
"46","Northern Italy",14,176.31,53.45,41.1,0.27,120.81,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","FRA"
"47","Northern Italy",34,1024.88,183.76,277.44,9.93,117.7,"Plugs and Caps","Spare Parts",1,0,1,60,"Nationals","c 100-250","FRA"
"49","Northern Italy",30,381.82,101.45,91.92,0.72,131.26,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","a 0-20","FRA"
"50","Northern Italy",19,424.07,175.03,100.39,1.18,132.1,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","a 0-20","FRA"
"52","Northern Italy",15,543.19,112.33,135.13,1.09,15.84,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","ITA"
"54","Northern Italy",30,1086.37,232.98,94.81,2.18,31.69,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","e >500","CEU"
"57","Northern Italy",8,289.7,30.97,41.13,0.4,21.73,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","c 100-250","ITA"
"59","Northern Italy",1,60.29,27.14,24.35,0.1,124.93,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","ITA"
"60","Northern Italy",1,60.29,16.03,24.35,0.1,124.93,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","ITA"
"61","Northern Italy",9,1202.97,74.31,104.45,2.37,39.3,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","e >500","CEU"
"62","Northern Italy",1,123.7,17.33,14.73,0.23,12.36,"Plugs and Caps","Spare Parts",1,0,1,4,"Nationals","c 100-250","ITA"
"63","Northern Italy",3,371.09,49.97,36.92,43.04,37.07,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","e >500","ITA"
"64","Northern Italy",8,298.49,84.03,204.11,1.66,12.61,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","ITA"
"69","Northern Italy",4,487.17,33.21,53.65,2.48,19.22,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","ITA"
"71","Northern Italy",33,4019.17,354.91,464.89,6.23,158.6,"Plugs and Caps","Spare Parts",1,0,1,74,"Nationals","c 100-250","ITA"
"72","Northern Italy",5,780.85,22.96,84.64,3.72,77.37,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","ITA"
"74","Northern Italy",4,431.65,119.97,296.29,2.46,14.9,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","b 20-100","ITA"
"75","USA",3,417.47,78.64,102.95,1.42,22.04,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","c 100-250","NAM"
"76","Northern Italy",9,1116.51,63.06,316.33,1.82,29.59,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","b 20-100","IAM"
"79","Northern Italy",2,221.51,41.59,19.02,11.32,15.36,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","c 100-250","ITA"
"80","Northern Italy",3,332.26,65.27,25.95,0.59,23.05,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","d 250-500","ITA"
"88","Northern Italy",3,332.54,24.56,37.32,0.45,15.03,"Plugs and Caps","Spare Parts",1,0,1,4,"Nationals","c 100-250","ITA"
"89","Northern Italy",8,886.78,64.46,86.9,90.66,40.07,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","e >500","ITA"
"90","Northern Italy",2,221.7,25.28,119.96,0.31,10.02,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","a 0-20","ITA"
"91","Northern Italy",28,3103.73,270.68,236.46,6.76,140.25,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","e >500","ITA"
"92","Northern Italy",7,775.93,59.8,59.12,1.03,35.06,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","d 250-500","APA"
